id	logFC	AveExpr	t	P.Value	adj.P.Val	B
KCNN3	2.339738581	4.060371946	8.419389667	6.71E-09	0.000156411	9.987596119
RNASE2	-1.68443575	5.427658348	-7.31899068	9.01E-08	0.000365657	7.715180187
SMOC2	1.404869191	8.486606504	7.278430065	9.94E-08	0.000365657	7.627746448
SERPINA3	-2.105163959	7.94404764	-7.252992283	0.000000106	0.000365657	7.572782626
LYVE1	-1.506353381	7.943403747	-7.240398196	0.000000109	0.000365657	7.545533588
ALOX5AP	-1.243523728	7.140320382	-7.237821812	0.00000011	0.000365657	7.53995623
USP9Y	3.600695813	4.945448438	6.87064158	0.000000271	0.000575084	6.734842037
FZD7	1.466690649	7.189766121	6.439597766	0.000000801	0.001475393	5.764864138
KDM5D	3.250332938	6.277225317	6.360435706	0.000000979	0.001521859	5.583989585
TM7SF2	1.528664073	7.240520608	6.30197009	0.00000114	0.001655751	5.449886685
S100A9	-1.281448381	7.531128259	-6.262960848	0.00000125	0.001721414	5.360171387
XIST	-4.115709209	5.909197879	-6.220163091	0.0000014	0.001813654	5.261526056
C10orf71	1.293429673	8.202378162	6.19519636	0.00000149	0.001831535	5.203876269
CHAC2	-1.075371879	6.310694343	-6.074155217	0.00000204	0.002373577	4.923329457
EIF1AY	4.415812457	7.688553031	6.020269431	0.00000234	0.00259684	4.797886852
VSIG4	-1.127724607	8.077929648	-5.979716578	0.0000026	0.002751979	4.703267255
PRMT7	1.516236493	5.077955073	5.926225177	0.00000298	0.002822937	4.578182987
FCN3	-1.563029863	7.994035086	-5.920356555	0.00000303	0.002822937	4.564441021
CCDC102A	1.566150241	4.437731894	5.890682666	0.00000327	0.002930873	4.494900675
SCN2B	1.821182161	3.972220174	5.859804801	0.00000354	0.003057187	4.422440827
TTTY10	1.794104702	4.11217821	5.826120698	0.00000386	0.003172863	4.34328374
NCRNA00185 	2.89817187	5.50429586	5.732285071	0.00000493	0.003707209	4.12217505
SLC16A9	2.309947785	5.163882447	5.686974179	0.00000554	0.004040715	4.015104467
MYOT	-2.266084449	8.774911234	-5.605315935	0.00000686	0.004705037	3.821672076
CD163	-1.337886195	8.905562351	-5.586563068	0.0000072	0.004707974	3.777167623
CRELD1	1.18749733	6.410029533	5.445598013	0.0000104	0.005799746	3.441707
FLJ27354	1.790095405	4.804428521	5.444486826	0.0000104	0.005799746	3.439056523
FAXDC2	1.510050465	6.781665832	5.400312757	0.0000117	0.006215599	3.333616714
BSG	1.196226699	10.31407289	5.374419961	0.0000126	0.006227732	3.271748433
MYO15B	1.48297275	4.787485316	5.304612211	0.0000151	0.006909481	3.104725758
HSPB6	1.638275311	8.780635042	5.303735274	0.0000151	0.006909481	3.102625597
LOC283861	1.473002049	4.900768659	5.27929567	0.0000161	0.007226046	3.044076597
RPS4Y1	3.730426867	8.65838592	5.270314949	0.0000165	0.007259042	3.022552753
TNNT1	1.27856963	7.434844095	5.23584436	0.0000181	0.007658679	2.93989423
NFE2L1	1.020593933	10.47114651	5.177081832	0.0000211	0.008683956	2.798833243
UTY	1.273614525	5.751480429	5.174522842	0.0000212	0.008683956	2.792686204
CCL5	2.580033651	3.747396007	5.038786786	0.0000304	0.011159428	2.466196909
NLRX1	1.444032364	5.491036981	5.022796247	0.0000317	0.011358397	2.427684684
LSAMP	-2.524012043	4.91871062	-5.012709752	0.0000325	0.011487884	2.403387306
RHNO1	1.029476809	4.507802124	4.932612774	0.0000402	0.013008698	2.210326606
IDO1	1.950968325	4.437861152	4.926526699	0.0000408	0.013038261	2.19564967
FAM69C	1.009362211	6.410884951	4.883689111	0.0000457	0.014074123	2.09231943
PBXIP1	1.008172412	3.218947331	4.867514963	0.0000477	0.014407095	2.053294983
TMEM158	-1.807389193	4.032161702	-4.84506211	0.0000506	0.014407095	1.999113597
AKR1C2 	-1.30099128	8.827615319	-4.83360551	0.0000522	0.014407095	1.971464308
F13A1	-1.16599698	9.002389676	-4.829385764	0.0000527	0.014407095	1.961279908
ZFP57	-2.265734856	4.564404619	-4.826635872	0.0000531	0.014407095	1.954642881
HSD17B8	1.290969525	7.131852316	4.795874429	0.0000576	0.01504666	1.880391814
MFAP4	1.627585258	6.591775515	4.78694927	0.000059	0.015119875	1.858846589
CHRDL1	1.156950581	6.400074642	4.732470208	0.0000681	0.016724323	1.727322352
TLR2	-1.19027849	6.19585109	-4.72682473	0.0000692	0.016798703	1.713692199
LOC728196	-1.309066792	3.446311797	-4.701736938	0.0000739	0.017231363	1.653121159
SLC22A16	-1.405810197	4.431612803	-4.641543258	0.0000866	0.019342195	1.507799122
MAPRE3	1.43664939	4.672263846	4.636572975	0.0000878	0.019342195	1.495800745
FCGBP	-1.580476117	5.414559104	-4.632262068	0.0000888	0.019342195	1.48539431
FBXO32	1.009725453	10.52789319	4.625333994	0.0000904	0.019342195	1.468670495
HBA1 	3.288884561	9.156837541	4.620626405	0.0000915	0.01936933	1.457307056
SERPINA5	-1.364126461	4.461298666	-4.614945612	0.0000929	0.01936933	1.443594793
RP11-196G18.24	1.320272498	4.875083335	4.60426169	0.0000956	0.019724799	1.41780712
KLRB1	1.574320651	4.735142207	4.587446389	0.0000999	0.020304791	1.377223485
EPHX2	1.118330557	6.297186208	4.490120882	0.000129174	0.023718156	1.142438789
PP12719	-1.056277183	4.537153164	-4.477467352	0.000133557	0.024142699	1.111931634
TMCC1-AS1	1.277477852	2.276062905	4.450292174	0.000143476	0.025155775	1.046430657
ABRA	-1.47624437	6.672031229	-4.440280728	0.000147312	0.025445756	1.022306216
TSIX	-1.796942208	4.806971882	-4.4195028	0.000155603	0.026290266	0.972249798
FNDC1	1.449379684	6.130032679	4.385023429	0.000170397	0.026758629	0.889223358
PLEKHB1	1.327732474	5.592575263	4.376809134	0.000174123	0.026758629	0.869450912
ARHGAP29	-1.295124517	3.03745564	-4.372898637	0.000175925	0.026758629	0.860039122
WFS1	1.576387251	6.028729778	4.372359395	0.000176175	0.026758629	0.858741329
SIPA1L3	1.363405228	5.239397216	4.365549066	0.000179362	0.026984136	0.842352094
CYS1	1.368374245	5.024505984	4.361402828	0.00018133	0.027105403	0.832375141
DRG2	1.361675424	4.76533391	4.352386323	0.000185685	0.027405043	0.810681899
KIAA1244	1.288722245	6.198248303	4.339577144	0.000192051	0.027990294	0.779870631
NSG1	-1.364437098	5.088059213	-4.329077574	0.000197431	0.028244733	0.754621191
CRYM	1.03949174	10.35157378	4.317563725	0.000203502	0.028587155	0.726939335
ZMYND12	1.42228179	5.274027653	4.306355586	0.00020959	0.029003231	0.699999452
EHMT2	1.598776679	4.757143717	4.264362535	0.000234051	0.031293361	0.599129887
FMNL3	1.311160931	3.64225712	4.254137364	0.000240423	0.031674709	0.574584876
GPC3	1.030129193	5.505418571	4.245165603	0.000246156	0.031875277	0.55305418
ZNF407	1.453177249	2.89973456	4.24270141	0.000247754	0.031875277	0.547141462
PRELP	1.131864672	7.881863227	4.234610628	0.000253074	0.032001371	0.527730861
SYCN	-1.14050366	3.380236786	-4.233150917	0.000254046	0.032001371	0.524229338
KIR3DL1 	-1.017298015	4.672557022	-4.23134468	0.000255253	0.032001371	0.519896777
BMP4	1.600624073	4.634599406	4.228512601	0.000257158	0.03205091	0.513104009
CENPV	-1.187168578	5.620153159	-4.220892008	0.000262355	0.032369549	0.494828699
IL17RB	-1.459289158	3.972809316	-4.195414142	0.000280493	0.034066809	0.433758928
HSP90AB1	1.020679614	10.4063435	4.156880104	0.000310313	0.036180918	0.341486179
TOR1A	-1.04994868	2.609530563	-4.149883297	0.000316054	0.036489292	0.324744321
FCER1G	-1.039829295	6.299446733	-4.149843607	0.000316087	0.036489292	0.324649363
STAT4	1.573513622	6.90672698	4.142965192	0.000321835	0.036811061	0.308194711
LTBP2	1.142539522	9.027138865	4.142699056	0.000322059	0.036811061	0.307558134
MYH6	-1.507667226	12.03146407	-4.123990609	0.000338231	0.037380089	0.26282389
LDOC1	1.142530687	5.900720345	4.11756513	0.000343968	0.037834853	0.247466652
PBLD	1.21095582	3.878329775	4.107261499	0.00035337	0.038686515	0.222847945
C1orf162	-1.472953698	6.190242972	-4.084177792	0.000375365	0.039968623	0.167728005
LAD1	-1.824576721	5.762929549	-4.07969317	0.000379792	0.04007408	0.157025166
TRDV3	1.242421328	3.333845095	4.069369886	0.000390181	0.040801008	0.132395155
PALLD	-1.323827837	3.18287991	-4.044115622	0.000416793	0.042257348	0.072184983
IGF2 	1.175980766	9.561605181	4.035277765	0.000426523	0.042743726	0.051129005
SMARCC1	1.404897027	5.281130733	4.034146666	0.000427784	0.042743726	0.048434759
UBE4B	1.186104529	5.216277901	4.030077104	0.000432353	0.042743726	0.038742248
MSS51	1.114269811	6.238046973	4.029868737	0.000432588	0.042743726	0.038246025
RASGRP1	1.453751872	3.791070172	4.024091847	0.00043916	0.042993114	0.024490189
EGFLAM-AS4	1.266638787	2.582638068	4.022799792	0.000440643	0.042993114	0.021414039
IRF6	1.343479784	6.724814893	4.007639714	0.00045842	0.043632239	-0.014666367
FAM216B	1.357644023	2.870218873	3.992897519	0.000476385	0.044066733	-0.049728834
BSDC1	-1.249597875	3.18531712	-3.973150123	0.000501541	0.044379309	-0.096658393
AF075036 	1.088184747	2.687851235	3.968132667	0.000508138	0.044379309	-0.108575421
THBS4	1.369127768	9.821445155	3.955351738	0.000525333	0.045371236	-0.138918641
ULK2	1.191098261	3.750537715	3.928375871	0.000563527	0.047611919	-0.202899638
DNAJC13	1.239568468	4.683989521	3.923945878	0.000570056	0.04768078	-0.213398347
TNRC6A	1.159467103	3.400381442	3.919297302	0.000576986	0.047711848	-0.224412519
MAP4	1.619599001	7.828038108	3.908623977	0.000593214	0.04870834	-0.249691492
FREM1	1.054319989	4.775060011	3.897009947	0.000611383	0.049502955	-0.277182374
IFT122 	1.410283672	5.134923488	3.894330224	0.000615653	0.049676145	-0.283522978
