	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM545657	0	0.151898253544978	0.00030122517488129	0	0	0.0718743061155345	0	0.0067211511862901	0.0413446037937239	0.018241758470498	0	0.0676242311416324	0.1024641852402	0	0	0.246287501591099	0.11398381149186	0.0280165209120437	0.15124245133726	0	0	0	0.00900000000000001	0.216177061424845	0.989839191692383
GSM545658	0	0.13278465807125	0.0346914730746171	0	0.0593925855786845	0.0265211123098842	0	0	0.00618678011603969	0.0118811995382123	0.0138426373253726	0.0355965402670554	0.092124943517625	0	0.0222248318010107	0.313179307495115	0.0410511832242278	0	0.159290435569163	0	0	0.0512323121117426	0.02	0.186947074136071	1.0038956753719
GSM545659	0	0	0.0465637007848128	0	0	0.0633580998638565	0	0.00721766443437067	0.0238352097902803	0.0210277691110972	0	0.0607678873304012	0.138597264158819	0	0.0573777434769031	0.412124639814495	0.00084367507406693	0	0.164541672075518	0	0	0.00374467408537887	0.001	0.260212476379948	0.979467723795045
GSM545660	0	0	0.0504105820457261	0.0270256571745118	0	0.105580533374765	0.00015708643024209	0	0.0448637682209339	0.0275875123447893	0.0190413151032597	0	0.0366704529547624	0.00651486029469764	0	0.454212226260444	0	0.0235730172061565	0.0999187604174468	0.00722655303371291	0	0.0972176751385507	0.0590000000000001	0.1487931054206	1.02797134001627
GSM545661	0.014752629721492	0	0.00805314756711024	0	0	0.0948846136170246	0	0.0253040242590938	0.0150388594593604	0.0374724579159546	0	0.0805354691987161	0.102002148631379	0	0.025954572660275	0.461061251581146	0.0432121080158388	0.0164163874369956	0.0753123299356139	0	0	0	0.002	0.249579739119719	0.986279594110234
GSM545662	0.0875520074199543	0	0	0	0	0.0138539406035962	0	0.0227627195321206	0.0620442516878667	0	0	0.0409313703702737	0.102361095008704	0	0.0227036112703841	0.462915304370402	0.00448838238489193	0.051462841007232	0.128924476344574	0	0	0	0.011	0.209533741016973	1.00236245509445
GSM545663	0	0.0315383092035379	0.0112768297123728	0	0	0.0891554849056653	0.0211982389849876	0	0	0	0.0208065615423259	0	0.0910790785052999	0.0120023291873271	0.0431800604957888	0.425400723407646	0.0338832853338454	0.000493781701342199	0.141976591580516	0	0.0329860114617781	0.0450227139775673	0.001	0.262194445218386	0.978815756798378
GSM545664	0	0	0.00439439514399303	0.162931863494291	0	0	0	0	0.0325790878851151	0.00418624255661595	0	0.029684168692001	0.0970807805570588	0	0.0158404206194998	0.387355698031789	3.78534429415615e-05	0	0.123667770782411	0	0	0.142241718794283	0.074	0.142013624498453	1.03596865219798
GSM2035924	0	0.0659941745631363	0.112825204916745	0.0367231121022596	0	0.117925592870329	0	0	0.0232005460613372	0	0	0.0590764845497434	0.100794001984827	0	0	0.287635493413595	0.000270364729453853	0.0212955957977555	0.139711393990866	0	0	0.0345480350199524	0.025	0.181960153397754	1.00594334703546
GSM2035925	0	0.0931720273178608	0.12449304805541	0.0500651126719776	0	0.0164519779090187	0	0	0.0224768966654024	0	0	0.0153930273727923	0.0902861050705985	0	0.0136576832913512	0.401826564303184	0.0316053851918798	0	0.117262895629629	0	0	0.0233092765208961	0.004	0.231426854347535	0.993882886438362
