	variables	.y.	group1	group2	n1	n2	statistic	df	p	p.adj	p.adj.signif
1	B cells memory	value	Con	IHF	12	13	-0.190070547617717	22.9744648502152	0.851	0.948913043478261	ns
2	B cells naive	value	Con	IHF	12	13	-0.439014121796635	22.9433369582131	0.665	0.923611111111111	ns
3	Correlation	value	Con	IHF	12	13	-0.0139076542577783	16.0442069908707	0.989	0.989	ns
4	Dendritic cells activated	value	Con	IHF	12	13	0.798712364202169	22.3786564666321	0.433	0.7125	ns
5	Dendritic cells resting	value	Con	IHF	12	13	0.821526269843999	20.7013042031466	0.421	0.7125	ns
6	Eosinophils	value	Con	IHF	12	13	0.451745310989563	15.3458585124497	0.658	0.923611111111111	ns
7	Macrophages M0	value	Con	IHF	12	13	-1.72339652127834	12.4014420431632	0.11	0.520833333333333	ns
8	Macrophages M1	value	Con	IHF	12	13	-1.61572000156207	16.779222902116	0.125	0.520833333333333	ns
9	Macrophages M2	value	Con	IHF	12	13	3.98541977978685	22.6260657553906	0.000598	0.01495	*
10	Mast cells activated	value	Con	IHF	12	13	1	11	0.339	0.70625	ns
11	Mast cells resting	value	Con	IHF	12	13	0.171534043128437	21.1035728494024	0.865	0.948913043478261	ns
12	Monocytes	value	Con	IHF	12	13	2.68684944921978	21.394921104358	0.0137	0.12	ns
13	NK cells activated	value	Con	IHF	12	13	0.0917568661617884	22.9997018795706	0.928	0.966666666666667	ns
14	NK cells resting	value	Con	IHF	12	13	-1.01569717918185	17.3077914979639	0.324	0.70625	ns
15	Neutrophils	value	Con	IHF	12	13	0.161541617386671	22.3067076798242	0.873	0.948913043478261	ns
16	P-value	value	Con	IHF	12	13	-1.66708379103893	13.3513480763269	0.119	0.520833333333333	ns
17	Plasma cells	value	Con	IHF	12	13	-1.42045236698009	20.0418263252124	0.171	0.54375	ns
18	RMSE	value	Con	IHF	12	13	0.388944209126731	16.5037775228098	0.702	0.923684210526316	ns
19	T cells CD4 memory activated	value	Con	IHF	12	13	-1.30966212257117	19.8364277359718	0.205	0.569444444444444	ns
20	T cells CD4 memory resting	value	Con	IHF	12	13	-1.41422394565759	18.3203553370162	0.174	0.54375	ns
21	T cells CD4 naive	value	Con	IHF	12	13	-0.174616537672338	22.4146557341884	0.863	0.948913043478261	ns
22	T cells CD8	value	Con	IHF	12	13	-0.757946729169101	22.9060010999322	0.456	0.7125	ns
23	T cells follicular helper	value	Con	IHF	12	13	-1.06726069839503	19.0373858855082	0.299	0.70625	ns
24	T cells gamma delta	value	Con	IHF	12	13	-2.79013666503654	14.0334682529375	0.0144	0.12	ns
25	T cells regulatory (Tregs)	value	Con	IHF	12	13	0.84506565801011	18.9591102084179	0.409	0.7125	ns
