ID	group	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM545657	Con	0	0.151898254	0.000301225	0	0	0.071874306	0	0.006721151	0.041344604	0.018241758	0	0.067624231	0.102464185	0	0	0.246287502	0.113983811	0.028016521	0.151242451	0	0	0	0.009	0.216177061	0.989839192
GSM545658	Con	0	0.132784658	0.034691473	0	0.059392586	0.026521112	0	0	0.00618678	0.0118812	0.013842637	0.03559654	0.092124944	0	0.022224832	0.313179307	0.041051183	0	0.159290436	0	0	0.051232312	0.02	0.186947074	1.003895675
GSM545659	Con	0	0	0.046563701	0	0	0.0633581	0	0.007217664	0.02383521	0.021027769	0	0.060767887	0.138597264	0	0.057377743	0.41212464	0.000843675	0	0.164541672	0	0	0.003744674	0.001	0.260212476	0.979467724
GSM545660	Con	0	0	0.050410582	0.027025657	0	0.105580533	0.000157086	0	0.044863768	0.027587512	0.019041315	0	0.036670453	0.00651486	0	0.454212226	0	0.023573017	0.09991876	0.007226553	0	0.097217675	0.059	0.148793105	1.02797134
GSM545661	Con	0.01475263	0	0.008053148	0	0	0.094884614	0	0.025304024	0.015038859	0.037472458	0	0.080535469	0.102002149	0	0.025954573	0.461061252	0.043212108	0.016416387	0.07531233	0	0	0	0.002	0.249579739	0.986279594
GSM545662	Con	0.087552007	0	0	0	0	0.013853941	0	0.02276272	0.062044252	0	0	0.04093137	0.102361095	0	0.022703611	0.462915304	0.004488382	0.051462841	0.128924476	0	0	0	0.011	0.209533741	1.002362455
GSM545663	Con	0	0.031538309	0.01127683	0	0	0.089155485	0.021198239	0	0	0	0.020806562	0	0.091079079	0.012002329	0.04318006	0.425400723	0.033883285	0.000493782	0.141976592	0	0.032986011	0.045022714	0.001	0.262194445	0.978815757
GSM545664	Con	0	0	0.004394395	0.162931863	0	0	0	0	0.032579088	0.004186243	0	0.029684169	0.097080781	0	0.015840421	0.387355698	3.79E-05	0	0.123667771	0	0	0.142241719	0.074	0.142013624	1.035968652
GSM2035924	Con	0	0.065994175	0.112825205	0.036723112	0	0.117925593	0	0	0.023200546	0	0	0.059076485	0.100794002	0	0	0.287635493	0.000270365	0.021295596	0.139711394	0	0	0.034548035	0.025	0.181960153	1.005943347
GSM2035925	Con	0	0.093172027	0.124493048	0.050065113	0	0.016451978	0	0	0.022476897	0	0	0.015393027	0.090286105	0	0.013657683	0.401826564	0.031605385	0	0.117262896	0	0	0.023309277	0.004	0.231426854	0.993882886
GSM2035926	Con	0	0.084022495	0.028192188	0	0	0.067687486	0	0	0.039029882	0.011328722	0	0.033283262	0.070229072	0	0.000957576	0.431334335	0.011208649	0.028654494	0.189770499	0	0	0.004301339	0.003	0.239557424	0.987169513
GSM2035927	Con	0	0.058723031	0.006179407	0.00886852	0	0.126381018	0	0	0.016453221	0	0	0.033340587	0.052991165	0	0.029521225	0.455829067	0.050032221	0	0.117753038	0	0	0.0439275	0	0.281757946	0.969884443
